Price,Close,High,Low,Open,Volume
Ticker,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS,APOLLOHOSP.NS
Date,,,,,
2015-01-01,1082.74169921875,1093.4161873319013,1076.10616853509,1087.6461810662975,76848
2015-01-02,1084.61669921875,1095.3393156464413,1080.4815992782476,1081.9241005718995,172991
2015-01-05,1088.22314453125,1100.6286813245256,1082.8859592373235,1084.616890660593,137885
2015-01-06,1055.815185546875,1092.0700175502575,1048.9392367486892,1086.2519973295605,164585
2015-01-07,1064.0850830078125,1071.2975892188913,1038.3604775216318,1067.4509192396492,208499
2015-01-08,1083.174560546875,1095.3396823408195,1061.3927602424756,1067.4994450094905,228503
2015-01-09,1081.5396728515625,1093.2239596471547,1063.6526759426863,1090.8197902402874,148255
2015-01-12,1075.577392578125,1086.5404298796664,1069.3746817134745,1082.8380320228168,59612
2015-01-13,1106.0140380859375,1112.8418555233857,1076.106195018075,1076.106195018075,327470
2015-01-14,1116.0638427734375,1133.470010070526,1107.8415344286545,1110.1495611036034,338840
2015-01-15,1103.898681640625,1123.757148616585,1096.301481231065,1117.506306837636,117612
2015-01-16,1140.3458251953125,1145.8272851843624,1107.6491170994095,1111.4476582894056,343994
2015-01-19,1154.2418212890625,1162.6564148623008,1146.4042049397704,1156.8864078406516,417946
2015-01-20,1164.2911376953125,1173.2346950319086,1149.6257040074138,1155.0591504585248,194900
2015-01-21,1177.947021484375,1190.4967170093691,1165.8780425130954,1173.2348253469745,257565
2015-01-22,1194.1025390625,1200.9304725185,1177.9465948034742,1177.9465948034742,192743
2015-01-23,1244.494384765625,1257.6693052064204,1194.439641855804,1198.2381830398197,241916
2015-01-27,1297.43408203125,1314.647958415444,1227.617026125447,1235.743071741947,372173
2015-01-28,1367.0106201171875,1384.705329075639,1280.9413619388629,1293.4430418977256,473816
2015-01-29,1307.2432861328125,1362.5391924870512,1301.3290048445292,1356.913458536189,228610
2015-01-30,1263.1988525390625,1336.8144560927194,1251.754981634835,1336.6701824368618,294980
2015-02-02,1297.62646484375,1307.0988695049848,1259.881002460649,1298.2515724123894,202501
2015-02-03,1247.042724609375,1304.5023758878867,1237.7145938687136,1302.0982063783256,161039
2015-02-04,1259.3040771484375,1277.4314930396322,1248.6776002168244,1251.0337569355713,151396
2015-02-05,1245.0230712890625,1280.9413352520369,1239.1569219857174,1264.5929848771984,127358
2015-02-06,1214.8751220703125,1251.9954800528658,1209.345531567736,1249.2066196255198,108730
2015-02-09,1185.1595458984375,1211.5572828517948,1179.870372437458,1202.0848774953517,86314
2015-02-10,1168.66650390625,1196.843410409642,1164.5794167705976,1179.2448470808797,144598
