Price,Close,High,Low,Open,Volume
Ticker,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS,EICHERMOT.NS
Date,,,,,
2015-01-01,1410.3421630859375,1419.4256932226906,1387.115750127076,1387.115750127076,291150
2015-01-02,1393.671875,1427.6868035776608,1387.3005337513364,1427.6821787349436,399730
2015-01-05,1400.010986328125,1408.8311248807886,1387.9472540052311,1387.9472540052311,353760
2015-01-06,1363.542724609375,1387.4853098928502,1352.8328296257962,1386.0992106821682,481180
2015-01-07,1382.3935546875,1386.0713195012338,1359.823196400786,1363.9214834579748,318150
2015-01-08,1374.427978515625,1395.3395956431657,1368.6340669146919,1382.6799371474735,294870
2015-01-09,1361.953369140625,1384.2510898055425,1344.5162454386277,1379.2103495762083,387420
2015-01-12,1372.9451904296875,1399.4982183624595,1349.159736171731,1353.9417109341707,657230
2015-01-13,1367.539306640625,1381.2200419641256,1357.4530891500976,1376.8538522396261,144320
2015-01-14,1370.71826171875,1381.1093820931842,1360.2347572803696,1364.3838056809432,157940
2015-01-15,1397.85791015625,1410.9565926339228,1371.7761662678822,1385.175125116575,461690
2015-01-16,1418.413818359375,1421.6757990036006,1387.1157017714806,1397.1880455595997,329840
2015-01-19,1429.9556884765625,1440.7025847187842,1419.3659241233902,1421.2140568370924,382660
2015-01-20,1431.443359375,1439.8617027838795,1423.246895659076,1430.0896338055245,367410
2015-01-21,1420.5068359375,1436.922884875434,1408.276833794316,1433.3190042759875,260600
2015-01-22,1415.20263671875,1424.0921482734536,1408.3968987748935,1413.9135464342935,140850
2015-01-23,1399.5860595703125,1424.9193712718813,1396.5413335459798,1420.4745585769047,1040970
2015-01-27,1486.7532958984375,1490.7960856320508,1394.804081685094,1403.656595510547,1340650
2015-01-28,1509.9471435546875,1523.9467676406164,1478.5057716933143,1493.9330057223697,850260
2015-01-29,1522.7547607421875,1538.5886432894172,1506.3202126356218,1520.4584698893418,615340
2015-01-30,1504.0008544921875,1537.6461359625362,1480.354032338932,1524.8015933963895,374570
2015-02-02,1530.415283203125,1561.2097421714102,1513.4170685244503,1515.1912033190392,508360
2015-02-03,1508.40869140625,1544.4750223293074,1502.0696107989857,1524.2471996388354,310210
2015-02-04,1471.0670166015625,1515.4591891626862,1459.3221722968235,1513.15827354486,272800
2015-02-05,1463.4945068359375,1486.1480038492873,1456.3699923465351,1471.1134283393842,291850
2015-02-06,1440.4111328125,1476.6576024013498,1432.48719846067,1469.0803056320951,215600
2015-02-09,1396.77685546875,1439.6950580646694,1392.3459176823128,1439.6950580646694,265960
2015-02-10,1398.4031982421875,1435.0748198204158,1363.4643136035568,1399.960303945866,528920
2015-02-11,1491.56298828125,1496.987252393622,1406.6135324064755,1416.5934925428533,398680
2015-02-12,1517.12744140625,1535.6919014192777,1485.3256642286804,1502.6241579479597,426470
2015-02-13,1503.21533203125,1559.0843343308532,1423.2466127926023,1532.7484495428248,741780
2015-02-16,1483.2279052734375,1551.322403150397,1476.2096494595582,1535.8904297161919,710030
2015-02-18,1566.0426025390625,1575.3156379042478,1506.2278189193464,1515.4684803851094,929620
2015-02-19,1537.6829833984375,1589.3936860650115,1524.7090593065518,1584.6809715328168,492290
2015-02-20,1511.966064453125,1541.804193084485,1506.3477835188207,1541.804193084485,305210
2015-02-23,1476.833251953125,1517.113377352857,1471.575369612168,1514.4520622822702,332010
2015-02-24,1463.9287109375,1483.126208249348,1450.6868832815696,1478.5058773825276,392330
2015-02-25,1441.21044921875,1480.3538752299032,1434.1505707595568,1471.852512327774,438780
2015-02-26,1405.074951171875,1447.3556022627392,1390.8211857262836,1441.5431900986357,557840
2015-02-27,1460.6160888671875,1464.6403793320683,1413.2669433083413,1413.2669433083413,911790
2015-03-02,1517.875732421875,1543.1905438525826,1494.5846846124057,1529.329550943727,1004760
2015-03-03,1469.9998779296875,1510.8019337822548,1449.5086655673556,1510.8019337822548,1177760
2015-03-04,1482.9366455078125,1502.5314258621756,1413.821083375848,1423.061744051507,2456430
2015-03-05,1478.6072998046875,1495.8781527730769,1465.5687414981012,1487.7463264892451,439860
2015-03-09,1450.765380859375,1472.0929001576035,1446.1635494020966,1466.9550381315198,516080
2015-03-10,1473.6822509765625,1482.8859137917314,1450.7653651929643,1450.7838645642469,814820
2015-03-11,1488.1475830078125,1501.602600860227,1473.8861037003603,1485.0097724075329,513190
2015-03-12,1511.32177734375,1518.1350012751752,1488.7175482329667,1496.1333268044882,485690
2015-03-13,1475.0679931640625,1518.5568253240508,1463.7264996999982,1516.97637815594,431710
2015-03-16,1466.5028076171875,1478.511694282967,1449.1359933399174,1475.7400558686936,165110
2015-03-17,1477.84912109375,1488.7132117541576,1465.5435383916497,1473.793616362274,313240
2015-03-18,1487.253173828125,1503.1784970968615,1472.5328468467362,1478.5210526431918,256920
2015-03-19,1493.5009765625,1513.4632469659578,1485.9461284014308,1496.1335466586172,579030
2015-03-20,1484.778076171875,1499.7115883038869,1475.80029395465,1493.3525710709478,338780
2015-03-23,1470.729736328125,1495.1137949081415,1460.097390140602,1491.4846617806406,188250
2015-03-24,1436.9093017578125,1474.3497339174128,1431.9129064967406,1473.4227614345975,333070
2015-03-25,1443.5555419921875,1455.2539286333852,1422.9025706818356,1440.5150454980928,451180
2015-03-26,1440.34814453125,1459.5458190781833,1417.9108192638707,1436.8071598999222,1414180
2015-03-27,1435.94970703125,1446.0769256349595,1400.7479532194711,1445.1453138585584,398000
2015-03-30,1484.9078369140625,1491.9620833254908,1443.6714831260408,1445.9842747463738,383940
2015-03-31,1474.6416015625,1499.3779153336613,1466.6280199036105,1497.0604842435012,386800
2015-04-01,1484.9635009765625,1501.4126229074657,1467.402057345543,1476.574468028291,458790
2015-04-06,1462.9898681640625,1491.902202430782,1438.6846737228268,1491.902202430782,653130
2015-04-07,1481.607666015625,1487.7906122868878,1456.7416781473573,1464.6023855204303,326890
2015-04-08,1531.8079833984375,1537.8472222047806,1480.9589301507192,1485.0097950404208,766960
2015-04-09,1511.19677734375,1548.043930786114,1508.3694662198097,1548.043930786114,538500
2015-04-10,1504.4993896484375,1523.293777533539,1493.0095487409146,1514.2094028266476,386810
2015-04-13,1489.7095947265625,1504.5689905496533,1483.24862378041,1501.6953985293105,436620
2015-04-15,1471.3555908203125,1494.2796015909046,1465.543455406464,1492.4163778987383,444450
2015-04-16,1468.0648193359375,1505.4032977452925,1458.4985131930132,1505.4032977452925,1081000
2015-04-17,1419.296630859375,1471.5686156092238,1408.9933421716842,1469.2511847185008,575680
2015-04-20,1368.3966064453125,1419.1947390356263,1356.1606160738872,1419.1947390356263,902330
2015-04-21,1326.5255126953125,1385.7034066992915,1310.368331880198,1381.1890550522999,904210
2015-04-22,1331.7025146484375,1341.3244931872034,1303.3557379179356,1334.8403254381305,1109130
2015-04-23,1367.0107421875,1376.1877912415346,1339.5677433985736,1345.036902988821,475210
2015-04-24,1364.5496826171875,1377.3882269350875,1343.2200399547673,1366.5425826297635,1226260
2015-04-27,1369.235595703125,1396.947454655383,1288.5009589167842,1349.20837441998,982640
2015-04-28,1406.685302734375,1414.0964427903177,1359.9242282642917,1367.2843350479966,487630
2015-04-29,1412.5299072265625,1430.768021820418,1400.8917186258775,1409.9250603938845,384040
2015-04-30,1408.219482421875,1422.6245571811212,1399.7283831951556,1409.1834568126908,635740
2015-05-04,1421.4749755859375,1436.8024949901705,1418.3464439223721,1431.3936475683527,260220
2015-05-05,1441.951904296875,1457.3581804412443,1410.0176385031373,1421.3267692234162,323440
2015-05-06,1397.9022216796875,1455.2354422407718,1390.4586061175435,1438.6611711296184,465440
2015-05-07,1372.5634765625,1401.0262391896008,1343.6419802364844,1397.4110238598935,750550
2015-05-08,1462.8690185546875,1472.9591220334164,1362.649408048535,1383.9697729363693,1368920
2015-05-11,1563.9510498046875,1572.608941797085,1477.4089055253405,1480.375172443233,2452730
2015-05-12,1590.5501708984375,1603.66221328482,1538.77414685133,1571.2181800680748,1304850
2015-05-13,1676.851318359375,1699.1496892466,1614.4151104156329,1618.0303254094974,3417440
2015-05-14,1684.8790283203125,1712.8597461656639,1640.8339185794637,1668.5504175917345,1784400
2015-05-15,1735.4776611328125,1742.230686669173,1684.9576659407737,1684.9576659407737,1506160
2015-05-18,1723.960205078125,1775.6157220508692,1695.8960916168444,1735.6910685511325,1626570
2015-05-19,1691.86376953125,1748.2375440895532,1675.5953579658274,1725.5591950549333,1045160
2015-05-20,1717.5408935546875,1725.7445771643124,1678.1816792578966,1689.7781137422562,1050920
2015-05-21,1706.8619384765625,1717.6797464229896,1696.9155433709575,1714.8988294023372,431240
2015-05-22,1733.136962890625,1736.2191004949082,1704.0346497189396,1705.629014901565,699030
2015-05-25,1777.321044921875,1811.767367407683,1714.9080404558345,1724.1684847164443,1777900
2015-05-26,1752.8399658203125,1796.935992991575,1744.223716647359,1770.517279656388,1986630
2015-05-27,1702.2039794921875,1749.1596770151086,1673.2823748132846,1749.1596770151086,1934440
2015-05-28,1667.2711181640625,1724.168689441877,1649.5474101407633,1703.7752963409514,1915360
2015-05-29,1751.6488037109375,1789.0521179495058,1650.8451931715226,1673.1852056967546,12860700
2015-06-01,1740.6595458984375,1754.3693908011987,1702.801911464697,1714.8062719843383,1096380
2015-06-02,1682.010009765625,1757.3543550469215,1666.6964073175989,1748.9698487912583,1097880
2015-06-03,1686.269287109375,1709.8004891227397,1664.0080326815148,1681.5278326205746,897950
2015-06-04,1604.7515869140625,1645.3761095393768,1572.2147631810524,1622.2017981374136,3314370
2015-06-05,1612.1627197265625,1620.0697087419637,1581.6049913809113,1594.2999424755183,761860
2015-06-08,1602.040283203125,1627.7637710427816,1595.1065467480346,1620.8114770320637,690480
2015-06-09,1585.9339599609375,1603.6623077269946,1543.3859026912376,1603.6623077269946,1049390
2015-06-10,1630.7900390625,1639.5638007478121,1587.6255123689102,1594.2071066357053,861190
2015-06-11,1598.5037841796875,1645.3760915953283,1586.9768274992687,1638.0529866410084,595110
2015-06-12,1613.3121337890625,1620.0789646983667,1585.1228702433866,1599.01353865919,455360
2015-06-15,1671.0902099609375,1679.9891223412185,1634.0762655149706,1643.9855461243824,718280
2015-06-16,1710.4310302734375,1717.2396155829351,1671.1459343453096,1675.8734710853046,1012840
2015-06-17,1788.0277099609375,1807.5914433048456,1719.1814554141645,1719.1814554141645,1717320
2015-06-18,1807.1929931640625,1825.023407846477,1789.056831464552,1792.4078278243894,1066240
2015-06-19,1802.5118408203125,1858.5704769047861,1777.9377922051926,1812.2450515109151,3874280
2015-06-22,1798.776123046875,1822.2424894855758,1784.47300149483,1796.009123859266,1000180
2015-06-23,1786.9061279296875,1804.8105447404487,1777.9329857002683,1798.3263776113245,577410
2015-06-24,1772.6954345703125,1803.9761099422496,1765.1684241084533,1784.4216566595203,984390
2015-06-25,1806.0853271484375,1815.4755626933497,1776.5427193779958,1776.5427193779958,1835900
2015-06-26,1813.31103515625,1824.0963682855395,1789.0567656442747,1807.1327277842038,408400
2015-06-29,1788.89453125,1798.2338464111745,1763.806076651648,1779.9307802376102,425730
2015-06-30,1815.633056640625,1826.126334334513,1784.4264948392033,1787.1842150755565,577540
2015-07-01,1886.606689453125,1895.658588664246,1825.3013597349827,1830.0288964202934,1219040
2015-07-02,1970.530029296875,1978.1589936275388,1891.0235927835893,1891.0235927835893,1601620
2015-07-03,1879.4923095703125,1998.093636396236,1872.0208573302511,1983.1647632373372,1986580
2015-07-06,1884.93359375,1904.4648530162249,1844.6983283618092,1863.2145799769346,951730
2015-07-07,1887.552001953125,1904.8260268130336,1872.4840625571571,1897.7904518332446,570230
2015-07-08,1898.67578125,1910.7264226830416,1865.5366304649485,1872.4889235993955,719440
2015-07-09,1913.38232421875,1919.9080196264351,1899.370919534145,1904.923701310561,535190
2015-07-10,1924.86279296875,1928.102670267845,1908.636249077641,1921.1503769856292,447180
2015-07-13,1961.4871826171875,1966.1082390881388,1928.287724163021,1928.287724163021,530250
2015-07-14,1925.68310546875,1964.7134868005928,1918.832878970698,1964.7134868005928,595940
2015-07-15,1920.533935546875,1929.952120506817,1910.0267390041945,1925.7807444691957,405100
2015-07-16,1953.9422607421875,1961.1032142042795,1920.6871205635118,1923.4680382091153,414520
2015-07-17,1955.9720458984375,1967.9624887160749,1940.3572223151725,1967.9624887160749,270490
2015-07-20,1969.63525390625,1976.1102547995433,1946.6417700797672,1964.2542432376317,354460
2015-07-21,1978.9329833984375,2004.1142235316236,1969.8162465331636,1969.9090342929385,620990
2015-07-22,1956.811279296875,1986.9657244701432,1922.0776438949576,1982.3308615719156,1130050
2015-07-23,1903.834716796875,1952.4822153253322,1887.427235709575,1952.4822153253322,677200
2015-07-24,1864.4984130859375,1909.3730660575618,1858.5796851856371,1891.9506920019378,813960
2015-07-27,1793.5015869140625,1850.2368913353769,1785.7381931440557,1844.7816497651222,1163350
2015-07-28,1807.5406494140625,1820.110450460839,1773.5300836996182,1802.4979734764968,849090
2015-07-29,1784.07421875,1828.3371499419532,1775.2587023543842,1816.8658667272846,842570
2015-07-30,1763.838623046875,1812.323854757523,1752.710314010361,1797.770432230478,877940
2015-07-31,1767.8475341796875,1784.431083386687,1732.9748382958162,1776.542539499295,1033940
2015-08-03,1768.9508056640625,1807.5962318130075,1764.6032461424224,1807.5962318130075,632610
2015-08-04,1870.45458984375,1881.7543312421733,1757.0857984184036,1771.259245330089,1375040
2015-08-05,1906.467041015625,1920.594091830476,1859.5993736826656,1898.4395412246254,1188320
2015-08-06,1907.0001220703125,1916.3300447520242,1888.7294195306213,1905.8552116049075,449180
2015-08-07,1912.48779296875,1925.2289110838594,1893.735159187436,1908.6361954412441,359450
2015-08-10,1887.7421875,1924.3854338236197,1872.4842579249855,1909.56315412152,366400
2015-08-11,1869.07763671875,1902.1381445925808,1836.3323809428096,1890.0041071865867,462080
2015-08-12,1839.9615478515625,1865.995532773315,1829.1947719496502,1861.3699493227805,375670
2015-08-13,1844.9254150390625,1878.787744673008,1836.3555595489877,1841.9405910063538,439660
2015-08-14,1909.618896484375,1916.9651983237882,1849.7827803007908,1858.3943904666314,551230
