Price,Close,High,Low,Open,Volume
Ticker,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS,HDFCLIFE.NS
Date,,,,,
2017-11-17,336.698486328125,360.5389995778372,299.9606310850841,302.89184246376567,168836552
2017-11-20,347.2019958496094,350.67058407471114,336.11224010355795,336.79620135647974,14650240
2017-11-21,376.4652099609375,409.29478108266187,344.4173130431959,348.2278816069179,43078194
2017-11-22,386.13824462890625,398.64473416580216,378.0285421951336,379.10332562826284,15227642
2017-11-23,366.25482177734375,383.0115720928415,362.5908080137005,381.05743141889843,12300150
2017-11-24,362.20001220703125,374.21796629944043,357.7054823662411,367.4273150360683,9463228
2017-11-27,371.62872314453125,375.6835592377594,362.49310917349476,362.49310917349476,3832223
2017-11-28,373.4363098144531,377.5399875049396,369.4303153073565,374.21795418850155,2409447
2017-11-29,369.13720703125,375.87901704435734,367.4762051436775,373.63173710071356,1657909
2017-11-30,362.9816589355469,371.0913314476238,362.29769771836425,371.0913314476238,2536960
2017-12-01,364.2030029296875,370.84706992924333,359.56191838531186,365.1312317656919,1904781
2017-12-04,354.48114013671875,366.30369830527945,353.6994957197161,365.4731824760746,1323453
2017-12-05,354.04150390625,357.51009227633665,348.9607253465768,352.7224527592362,1806017
2017-12-06,359.9039001464844,363.1770920623031,350.3285920074054,352.6247134897155,3331373
2017-12-07,379.3964538574219,380.9597725823962,361.5649176725955,361.5649176725955,3350792
2017-12-08,380.37347412109375,386.7244313759446,376.75833172825565,381.0574352910521,2494845
2017-12-11,372.06842041015625,383.2558891394443,370.3585470997827,378.12626920832366,1029719
2017-12-12,374.9996032714844,378.1262404425828,368.40437814748583,372.16610510770124,2564559
2017-12-13,372.06842041015625,380.3246777502325,369.8211702722235,377.5888923807645,747787
2017-12-14,375.4881896972656,377.1492215118836,368.35558681341996,374.0714553309865,1261422
2017-12-15,373.9781188964844,383.1461780213423,372.7034282903414,380.44969180366166,1698848
2017-12-18,370.10498046875,375.8411177848312,365.0061584947691,372.60534648223575,1399027
2017-12-19,367.6046142578125,373.5369020239077,365.006188010914,370.6442956833459,1641589
2017-12-20,367.8497314453125,370.35012746284286,364.2707649080792,370.1049923585978,2251770
2017-12-21,368.7322082519531,374.37031559478856,367.70265279361837,371.86994952527937,1448962
2017-12-22,367.2614440917969,372.99761218562827,366.91827884476095,368.92837496478114,775946
