Price,Close,High,Low,Open,Volume
Ticker,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
Date,,,,,
2015-01-01,124.95896911621094,125.59438675150129,124.21433836471982,125.47524310434346,2509980
2015-01-02,126.24469757080078,126.98436685108531,124.92918626083328,125.19725000096363,6318150
2015-01-05,125.73834991455078,126.96947825541102,125.29653595566717,126.29930752490422,3051150
2015-01-06,124.2391586303711,125.32135166683494,122.47190289114813,124.60154346852566,11345430
2015-01-07,126.23973083496094,129.46150250913468,123.85691099229831,123.85691099229831,17858870
2015-01-08,133.10520935058594,134.33136839131538,127.71904477532784,129.06930892078884,34548830
2015-01-09,135.12069702148438,136.06886199383072,133.0952928990169,134.4703873788599,32187050
2015-01-12,136.1184844970703,137.7070207428596,133.86473156042962,135.12067461034204,8434210
2015-01-13,138.2977752685547,139.97567886105438,135.79085798479883,136.2177723121187,9608210
2015-01-14,138.1240234375,138.74951806266895,136.73405221440242,138.4119557869953,7592900
2015-01-15,139.03744506835938,143.36623237500513,138.20843132847176,142.77053687290137,19854090
2015-01-16,138.53607177734375,138.99773920380693,137.01205721518113,137.7070428812899,13403000
2015-01-19,137.95030212402344,138.89845196190154,137.21062526602967,138.32261750471068,8775380
2015-01-20,138.5708465576172,139.13675813526896,137.2751809792832,138.20348503047282,18918630
2015-01-21,137.82122802734375,140.8841340772298,137.51344973638487,138.60061186061165,13420650
2015-01-22,137.77157592773438,138.84881504076108,136.0341042386629,137.67228577139565,20000080
2015-01-23,137.53826904296875,138.57578611924328,137.2106296794791,138.21340883276469,7774060
2015-01-27,137.84107971191406,138.30274711694418,135.25471813412477,137.3496131408508,8433660
2015-01-28,134.14768981933594,138.00487086411056,133.69097638664627,137.3198082898502,37201990
2015-01-29,132.1868133544922,134.51502606365673,131.5265809389972,133.9342075744605,22504270
2015-01-30,131.27342224121094,133.92430557035385,130.7918938088851,133.0406777939729,13992500
2015-02-02,134.26686096191406,135.02638376460789,129.50618991110082,131.05501953623707,16563690
