Price,Close,High,Low,Open,Volume
Ticker,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS,SHREECEM.NS
Date,,,,,
2015-01-01,8981.6953125,9051.08716785466,8908.37690457314,9008.609688456412,5510
2015-01-02,8932.224609375,9003.196239639226,8905.0230891538,9003.196239639226,1605
2015-01-05,8909.8603515625,8998.360235377551,8888.26244400608,8906.939288581309,2685
2015-01-06,8693.20703125,8921.783203728957,8620.12809234407,8921.783203728957,2183
2015-01-07,8681.380859375,8759.632239758179,8598.724033185474,8701.494385196589,6180
2015-01-08,8775.00390625,8811.639254236363,8687.605853864232,8811.639254236363,9564
2015-01-09,8800.431640625,8859.527269044074,8787.7409664288,8797.271131477819,5835
2015-01-12,8813.6044921875,8888.264182816774,8730.22931318695,8730.22931318695,21195
2015-01-13,8842.1962890625,8918.914671930908,8811.594800043631,8841.381608714808,16857
2015-01-14,8871.404296875,8909.332277738311,8773.278858049129,8897.072794503405,13055
2015-01-15,9552.9697265625,9704.300107231928,8830.798163114723,8830.798163114723,34301
2015-01-16,9501.4384765625,9673.648386514064,9424.623774583997,9673.648386514064,5131
2015-01-19,9824.1640625,9886.27616748301,9510.823710822156,9510.823710822156,23250
2015-01-20,10015.0048828125,10104.653376548493,9680.497755631499,9774.216844329607,24943
2015-01-21,9987.1298828125,10200.42918533316,9922.67101972315,10080.705838087466,11973
2015-01-22,10443.8525390625,10727.21342307124,9908.305612649283,10008.873238490576,27153
2015-01-23,10564.34375,10662.085734075075,10345.05821179886,10655.381224540533,46747
2015-01-27,10390.74609375,10768.40139637264,10141.29023260185,10631.342423374852,12300
2015-01-28,10590.873046875,10631.43494932542,10439.877562851087,10583.545602706836,12808
2015-01-29,10434.994140625,10717.636715070072,10315.36616812374,10717.636715070072,12831
2015-01-30,10506.634765625,10583.544863857502,10344.098147480636,10583.544863857502,26559
2015-02-02,10437.7255859375,10631.438049497028,10385.430778316144,10631.438049497028,11832
2015-02-03,10390.359375,11288.476332561833,9863.337136582204,10717.63534374401,90496
2015-02-04,10237.06640625,10446.198813421484,9673.69593310582,10390.360021097453,31196
2015-02-05,10537.4306640625,10629.235127792444,9915.539626190683,10055.807747791698,9439
2015-02-06,10605.623046875,10727.214292372837,10239.221820768913,10532.209235264889,18958
2015-02-09,10599.541015625,10705.855366964592,10443.325403038942,10443.325403038942,12371
2015-02-10,10538.2421875,10688.901880885951,10374.74777542622,10535.655975783644,21411
2015-02-11,10616.830078125,10631.62807522071,10391.989566535669,10545.283197912495,7732
2015-02-12,10645.27734375,10698.386827124681,10468.613320725404,10468.613320725404,2518
2015-02-13,10822.80078125,11014.071022068543,10578.756853667295,10578.756853667295,29096
2015-02-16,10595.373046875,10943.337759751432,10449.4545935741,10866.331322433232,5847
2015-02-18,10438.8740234375,10822.9943573443,10286.920724099018,10403.148751254947,85677
2015-02-19,10539.1533203125,10770.314839145178,10345.152814756491,10587.32981945273,47444
2015-02-20,10640.34375,10679.325870964492,10444.668037925361,10594.226863608123,12577
2015-02-23,10641.826171875,10679.323903033264,10550.309820921693,10655.810421776403,7325
2015-02-24,10524.8798828125,10748.235955551663,10159.915403348949,10679.32300701712,11771
2015-02-25,10597.001953125,10733.917777408833,10419.619632357228,10722.51973917489,60085
2015-02-26,10529.1904296875,10631.434177293453,10359.087856986298,10597.001552507354,20624
2015-02-27,10536.7109375,10650.592193997652,10470.71996973156,10487.816094756314,35844
2015-03-02,10965.2705078125,11013.54333942269,10194.63557869119,10197.556641530147,12346
2015-03-03,10970.4443359375,11034.519723516874,10710.118022569804,11014.550239175298,4002
