Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2015-01-01,362.72369384765625,365.3500503251209,360.8136164095001,364.15625192627334,269753
2015-01-02,365.5888671875,371.0326003958994,362.72375058212623,362.72375058212623,623981
2015-01-05,368.5495300292969,372.0831858509392,365.58890341460693,366.7349618285115,551576
2015-01-06,355.9429931640625,366.1618914323807,352.60035716923943,365.01586229286795,519159
2015-01-07,357.757568359375,360.43166555085133,353.3643837058294,356.13399061388856,397373
2015-01-08,356.1340026855469,362.91478475613803,352.1705970495418,362.91478475613803,672501
2015-01-09,356.1340026855469,359.95415831455887,352.79136651016137,359.09462912712604,985975
2015-01-12,359.85870361328125,361.48228166202887,353.9374789703055,356.4683266323706,344364
2015-01-13,355.4654846191406,366.73493180280826,354.1284068638972,358.95137071994236,715002
2015-01-14,354.8924560546875,360.0019199265888,352.40934912067735,356.2772449528367,404068
2015-01-15,358.99908447265625,361.9597106261332,353.077861311174,356.8980165684419,648144
2015-01-16,369.791015625,376.2852674662293,360.00186843837855,362.91472496742927,1387070
2015-01-19,376.7629089355469,377.71794799495257,371.7012135788883,371.7012135788883,913385
2015-01-20,375.90325927734375,380.9649530136572,372.8948930323473,379.1503852107601,603286
2015-01-21,388.653076171875,390.1811150332135,372.89493496416935,376.85834040852797,1885665
2015-01-22,381.77679443359375,390.8019235586938,375.42579167486264,388.70082635265203,785747
2015-01-23,380.9172668457031,387.2205293444973,376.28532240326865,385.0239224117117,709214
2015-01-27,382.6363220214844,388.70082474774915,375.5690401278928,381.0605136961963,1306898
2015-01-28,413.7705993652344,418.1160146594091,385.83571181432126,390.99291599462583,6282139
2015-01-29,421.9361572265625,424.0372543794245,406.5122854470361,408.5656131695536,3488597
2015-01-30,411.23974609375,422.93897233211976,409.4729183429423,422.07944317227305,970722
2015-02-02,413.72283935546875,418.11599472655024,408.13585628253975,410.66670339296,1106879
2015-02-03,412.86328125,428.2394124915901,411.1919632703809,416.30142692288234,2245302
2015-02-04,410.71441650390625,423.9894788888867,407.801559877257,414.9643507416116,1392064
2015-02-05,399.0152587890625,412.481313716545,394.765352979339,412.481313716545,1040089
2015-02-06,397.9646911621094,407.8015794292634,390.70639024247066,406.7510308896955,1116247
2015-02-09,393.7148132324219,402.6444333822525,390.70644632244586,390.70644632244586,813004
2015-02-10,406.0825500488281,411.2397542557386,391.3749277408782,391.4226971729405,1092699
2015-02-11,407.08538818359375,414.24818093755727,404.07702105602476,409.04320654481916,1113419
2015-02-12,406.6078186035156,414.39137994205106,404.45898104189985,409.711695081405,1131467
2015-02-13,407.51507568359375,412.5767697655847,404.60218979866016,408.27909508052653,935029
2015-02-16,398.7286682128906,412.9587394050473,396.2933311191192,412.9587394050473,842771
2015-02-18,410.427978515625,413.0543355625545,397.58269330063416,400.3045600692743,1093702
2015-02-19,413.2930603027344,422.7957084716391,411.43072289621415,415.2986477069548,1517003
2015-02-20,415.7762451171875,419.2621317272823,403.50398782409286,414.48693660510366,1033950
2015-02-23,400.8775634765625,415.77617559567346,399.20624546325934,415.72840616515236,1004925
2015-02-24,403.4561767578125,407.27633218543355,399.206242186395,402.31011847133703,748836
2015-02-25,403.2651062011719,408.75657893215293,399.68371094183647,405.318433654097,788068
2015-02-26,404.5544738769531,406.8465613512457,397.3916823038678,404.84097388168715,726024
2015-02-27,415.7762451171875,417.1132939223019,402.35792933657876,405.9870951167213,826541
2015-03-02,393.95355224609375,401.83262329101564,389.7991271387673,401.78488300347874,1124323
2015-03-03,397.2006530761719,402.8353764789626,391.99570881535817,394.04903651991674,719506
2015-03-04,392.90301513671875,405.6050505599431,391.0884469749654,405.6050505599431,655400
2015-03-05,387.5069885253906,396.9618667046794,382.30201546864805,393.47598095492526,959120
2015-03-09,381.7290954589844,387.45932939144564,377.43142000963843,385.8357514523908,648441
2015-03-10,387.1726989746094,388.9872667496769,381.7289956494067,384.3075827575124,657218
2015-03-11,381.8722839355469,390.3243834528797,380.10545626201844,390.3243834528797,410728
2015-03-12,386.40869140625,388.41427864837425,382.25426693587906,383.4480653960161,349974
2015-03-13,380.82171630859375,389.2260459758365,379.3414178469618,387.74574751420454,428548
2015-03-16,379.7234191894531,382.0155063987516,374.0886962991656,381.82448698736414,399268
2015-03-17,386.2655029296875,387.50704186774664,378.00439295365015,381.06052915645324,562431
2015-03-18,383.734619140625,388.65309280198676,382.01556077532575,388.65309280198676,309016
