Price,Close,High,Low,Open,Volume
Ticker,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS,ULTRACEMCO.NS
Date,,,,,
2015-01-01,2548.02880859375,2563.7236155909327,2537.2145926491194,2563.7236155909327,54097
2015-01-02,2624.206298828125,2634.1590679706496,2552.574304830051,2554.727568373351,228660
2015-01-05,2629.5654296875,2656.0744500681744,2608.7984455038254,2629.85257822616,181680
2015-01-06,2555.7802734375,2621.2393892626765,2537.02286270002,2619.995234755102,292468
2015-01-07,2545.68408203125,2577.1694887564972,2499.9391444592366,2559.991276266995,120023
2015-01-08,2610.18603515625,2614.8276078333392,2545.9231740597693,2559.991115893063,249884
2015-01-09,2612.00439453125,2641.336534692593,2594.443241141891,2641.336534692593,334880
2015-01-12,2584.203125,2617.4111835987555,2574.3459173238216,2610.4249936742394,148064
2015-01-13,2697.321533203125,2728.6634811230833,2598.3193047466016,2617.4115285827734,517233
2015-01-14,2783.787109375,2793.3092727320923,2707.370083720462,2707.370083720462,537834
2015-01-15,2950.497314453125,2968.9196794500253,2773.786021192541,2794.4574436856383,699207
2015-01-16,2938.1044921875,3004.951227428989,2914.801300423932,2966.910235327913,369250
2015-01-19,2955.712890625,3004.9508002577463,2934.6587596249187,2965.7614531477657,147140
2015-01-20,2963.321044921875,2993.4667325276805,2952.4112704840536,2966.718462793558,303336
2015-01-21,2923.4619140625,2981.9348392466704,2910.5423333341364,2975.3315914431223,295819
2015-01-22,2988.203125,3009.065901041905,2927.4811453565035,2930.3521631518843,368715
2015-01-23,3012.559326171875,3048.7820995218012,2995.4290109089657,3031.7952417123333,414381
2015-01-27,2987.246337890625,3062.3234120105867,2971.9342418602832,3062.3234120105867,426957
2015-01-28,3004.75927734375,3052.800926840014,2990.643440305508,2995.428469809997,241081
2015-01-29,3026.770751953125,3038.4940755517105,2979.255497111171,3000.213835229799,353459
2015-01-30,3005.333740234375,3048.0639626105335,2963.8474386828325,3026.3878712163005,170802
2015-02-02,2954.325927734375,3032.895993676934,2908.3417347875456,3014.378064574756,258417
2015-02-03,2973.9443359375,3050.93542951756,2928.4386494114597,2938.0087103572487,407784
2015-02-04,2963.75146484375,2991.983138766024,2936.1898819636594,2991.0261328703536,220090
2015-02-05,2932.3623046875,2976.1929944650315,2910.255371675227,2976.1929944650315,130329
2015-02-06,2879.009033203125,2918.868238809914,2866.232909913342,2899.7281192111604,129840
2015-02-09,2835.369140625,2861.4475505759006,2814.554262957767,2833.7422773752137,127620
2015-02-10,2838.671142578125,2895.85225091913,2814.6504322313413,2824.2204922047313,187835
2015-02-11,2878.674072265625,2890.110247333217,2847.0928739994133,2847.0928739994133,170700
2015-02-12,2904.609130859375,2961.9336993042825,2871.49662835622,2877.7171676277794,187078
2015-02-13,2978.681396484375,3009.5448422792733,2936.094626317771,2939.0614385959902,193738
2015-02-16,2946.43017578125,3014.5689575533283,2938.1519335367784,2988.729795060014,177606
2015-02-18,2976.28857421875,2993.036178736058,2949.492406991057,2949.77955551159,202114
2015-02-19,2930.639404296875,2994.375861182601,2878.769727882884,2978.7768509165066,165743
2015-02-20,2884.51171875,2990.7393788831923,2876.4248315813934,2984.9015491479904,201227
2015-02-23,2850.059814453125,2912.169413716569,2842.3079719810094,2897.8143229489883,200058
2015-02-24,2860.1083984375,2878.865576988135,2837.522962010753,2852.835058938973,118101
2015-02-25,2912.02587890625,2928.438438790216,2863.553383515662,2866.4244015929075,284765
2015-02-26,2849.437255859375,2933.2231716511683,2825.5121076403602,2913.1260471471965,218727
2015-02-27,2991.40966796875,3001.840940840229,2865.2762192054424,2871.9752618021153,251642
2015-03-02,3224.918701171875,3233.7231091943527,3009.783716607351,3023.181799924522,446753
2015-03-03,3216.353759765625,3229.8953014236045,3167.6899104332238,3229.8953014236045,247539
2015-03-04,3167.977294921875,3251.906681980493,3150.942539853082,3224.1535054715364,278837
2015-03-05,3052.418701171875,3186.8301545031127,3016.8181227512823,3172.4750637170628,490549
2015-03-09,2934.323974609375,3052.849266061255,2921.8828960956457,3042.322199626561,318482
2015-03-10,2887.478271484375,2975.2356693333727,2876.759851699861,2938.0082317759725,539122
2015-03-11,2858.672607421875,2913.7481137136524,2847.0927418043175,2887.4783467407688,309685
2015-03-12,2879.9658203125,2899.6800018145623,2865.41914360773,2869.1037098080865,483570
2015-03-13,2820.201171875,2909.2985329027742,2808.3822867715226,2909.2985329027742,254015
2015-03-16,2788.1416015625,2847.0932733867267,2765.747751289963,2842.3082426751525,214421
2015-03-17,2802.49609375,2837.331250059336,2766.799959198604,2820.296497644048,290837
2015-03-18,2809.48193359375,2838.861965481942,2784.360530867495,2823.1671635219955,292204
2015-03-19,2768.618408203125,2864.606158472471,2750.435293873412,2826.995775261677,354477
2015-03-20,2732.300048828125,2765.7473620661717,2713.686328708426,2763.8333500509007,284773
2015-03-23,2707.370361328125,2754.7900621410013,2703.5423367804715,2737.0375515724418,213023
2015-03-24,2681.052490234375,2723.6392601131647,2670.6688809748443,2715.0262055309377,389917
2015-03-25,2647.078369140625,2708.0395993873294,2631.766274452899,2697.7996827937172,389212
2015-03-26,2675.597900390625,2705.0258401574542,2617.1247298678445,2631.7669710172304,433234
2015-03-27,2681.387451171875,2694.5462841460067,2645.0688852480303,2689.282750956354,267173
2015-03-30,2817.4736328125,2830.4411111716945,2689.234825545227,2701.6280068321726,340546
2015-03-31,2754.167724609375,2839.91556347122,2732.2523786723955,2839.91556347122,465222
2015-04-01,2759.718017578125,2784.217463411594,2734.501050924551,2764.74229882708,371347
2015-04-06,2768.188232421875,2784.6007947125036,2746.607696647967,2774.3608754642705,137119
2015-04-07,2805.79833984375,2818.3828762068797,2754.6461784859694,2775.3176030560107,283978
2015-04-08,2858.05029296875,2892.5504032332233,2812.449054180185,2837.2354141365504,270787
2015-04-09,2836.518310546875,2873.8894471562944,2818.3830908675614,2871.018428727567,192790
2015-04-10,2841.398681640625,2874.798097237562,2818.382640849868,2860.395110357722,118815
2015-04-13,2872.40576171875,2898.675531059467,2825.4169048554986,2842.3079681784657,238104
2015-04-15,2858.098876953125,2899.6328505504957,2837.523244656292,2894.8478197837903,585767
2015-04-16,2770.580810546875,2874.7031305018563,2737.6119941080333,2858.0989796869235,301285
2015-04-17,2688.373046875,2760.9620382890103,2676.984770053357,2758.0910205715522,505583
2015-04-20,2658.7060546875,2704.3075295603553,2630.3309210002512,2688.3732398979814,496778
2015-04-21,2632.914794921875,2695.88583488295,2615.258081390267,2669.7595250045847,127347
2015-04-22,2672.7265625,2688.230013893322,2633.6806686487794,2644.2077352749193,361828
2015-04-23,2610.99951171875,2727.4670949753813,2594.9217642195604,2684.4018250547174,220291
2015-04-24,2590.567138671875,2626.406963788969,2574.345934992456,2611.1906630583335,361319
2015-04-27,2541.138427734375,2649.949978158549,2524.6300719657816,2590.6155980047643,585545
